"Evt_lab","Start","End","TotalRain","Max_Intensity","Dur_hr","PreDry_Dur_hr"
2711,1962-01-23 08:00:00,1962-01-23 08:00:00,2.29,2.29,1,182
2713,1962-01-28 00:00:00,1962-01-28 02:00:00,8.89,6.1,3,111
2715,1962-02-05 15:00:00,1962-02-05 15:00:00,2.03,2.03,1,204
2717,1962-02-06 09:00:00,1962-02-06 13:00:00,5.59,3.3,5,17
2719,1962-02-09 15:00:00,1962-02-09 15:00:00,3.56,3.56,1,73
2721,1962-02-10 04:00:00,1962-02-10 04:00:00,0.76,0.76,1,12
2723,1962-02-16 09:00:00,1962-02-16 10:00:00,0.76,0.51,2,148
2725,1962-02-19 20:00:00,1962-02-19 21:00:00,0.5,0.25,2,81
2727,1962-03-02 07:00:00,1962-03-03 00:00:00,27.92,4.32,18,249
2729,1962-03-12 09:00:00,1962-03-12 10:00:00,1.27,0.76,2,224
2731,1962-03-13 04:00:00,1962-03-13 04:00:00,0.25,0.25,1,17
2733,1962-03-14 19:00:00,1962-03-15 12:00:00,23.09,4.57,18,38
2735,1962-03-22 20:00:00,1962-03-23 09:00:00,23.1,5.84,14,175
2737,1962-03-25 13:00:00,1962-03-25 18:00:00,1.27,0.51,6,51
2739,1962-03-31 17:00:00,1962-03-31 19:00:00,1.78,0.76,3,142
2741,1962-04-01 02:00:00,1962-04-01 09:00:00,33.78,8.38,8,6
2743,1962-04-07 00:00:00,1962-04-07 00:00:00,1.78,1.78,1,134
2745,1962-04-07 13:00:00,1962-04-07 13:00:00,0.25,0.25,1,12
2747,1962-04-12 22:00:00,1962-04-12 23:00:00,9.14,8.89,2,128
2749,1962-04-26 16:00:00,1962-04-26 16:00:00,1.02,1.02,1,328
2751,1962-04-28 22:00:00,1962-04-29 00:00:00,13.97,10.16,3,53
2753,1962-05-12 02:00:00,1962-05-12 05:00:00,4.57,3.3,4,313
2755,1962-05-28 14:00:00,1962-05-28 16:00:00,3.55,3.3,3,392
2757,1962-05-28 22:00:00,1962-05-29 00:00:00,2.79,1.78,3,5
2759,1962-05-30 10:00:00,1962-05-30 14:00:00,10.92,4.32,5,33
2761,1962-05-30 22:00:00,1962-05-30 22:00:00,5.59,5.59,1,7
2763,1962-05-31 18:00:00,1962-05-31 18:00:00,1.02,1.02,1,19
2765,1962-06-02 05:00:00,1962-06-02 05:00:00,1.02,1.02,1,34
2767,1962-06-04 17:00:00,1962-06-04 17:00:00,0.25,0.25,1,59
2769,1962-06-05 17:00:00,1962-06-05 19:00:00,1.26,0.76,3,23
2771,1962-06-08 22:00:00,1962-06-08 23:00:00,5.08,3.81,2,74
2773,1962-06-09 20:00:00,1962-06-09 22:00:00,2.29,1.78,3,20
2775,1962-06-10 10:00:00,1962-06-10 10:00:00,1.27,1.27,1,11
2777,1962-06-11 14:00:00,1962-06-11 15:00:00,0.76,0.51,2,27
2779,1962-06-12 13:00:00,1962-06-12 13:00:00,4.32,4.32,1,21
2781,1962-06-13 17:00:00,1962-06-13 20:00:00,6.86,3.81,4,27
2783,1962-06-14 17:00:00,1962-06-15 00:00:00,105.4,73.15,8,20
2785,1962-06-15 16:00:00,1962-06-15 20:00:00,1.78,0.51,5,15
2787,1962-06-20 16:00:00,1962-06-20 20:00:00,21.59,16.51,5,115
2789,1962-06-21 15:00:00,1962-06-21 16:00:00,11.43,10.67,2,18
2791,1962-06-21 23:00:00,1962-06-22 01:00:00,11.18,9.4,3,6
2793,1962-06-22 14:00:00,1962-06-22 14:00:00,5.84,5.84,1,12
2795,1962-06-23 18:00:00,1962-06-23 18:00:00,0.25,0.25,1,27
2797,1962-06-24 18:00:00,1962-06-24 19:00:00,0.76,0.51,2,23
2799,1962-06-25 19:00:00,1962-06-25 20:00:00,3.56,3.05,2,23
2801,1962-06-27 18:00:00,1962-06-28 01:00:00,17.01,7.37,8,45
2803,1962-06-28 17:00:00,1962-06-28 18:00:00,6.85,6.6,2,15
2805,1962-07-04 18:00:00,1962-07-04 22:00:00,1.53,1.02,5,143
2807,1962-07-05 16:00:00,1962-07-05 16:00:00,1.02,1.02,1,17
2809,1962-07-05 23:00:00,1962-07-05 23:00:00,0.51,0.51,1,6
2811,1962-07-06 13:00:00,1962-07-06 15:00:00,0.76,0.51,3,13
2813,1962-07-07 12:00:00,1962-07-07 16:00:00,8.9,4.83,5,20
2815,1962-07-08 21:00:00,1962-07-08 22:00:00,1.27,1.02,2,28
2817,1962-07-12 18:00:00,1962-07-12 22:00:00,4.82,2.79,5,91
2819,1962-07-14 14:00:00,1962-07-14 14:00:00,6.86,6.86,1,39
2821,1962-07-17 14:00:00,1962-07-17 18:00:00,2.54,2.29,5,71
2823,1962-07-18 17:00:00,1962-07-18 21:00:00,1.27,1.02,5,22
2825,1962-07-21 13:00:00,1962-07-21 21:00:00,38.62,22.61,9,63
2827,1962-07-22 22:00:00,1962-07-22 23:00:00,0.76,0.51,2,24
2829,1962-07-25 13:00:00,1962-07-25 15:00:00,1.02,0.51,3,61
2831,1962-07-26 14:00:00,1962-07-26 14:00:00,1.02,1.02,1,22
2833,1962-07-27 14:00:00,1962-07-27 19:00:00,34.28,23.11,6,23
2835,1962-07-28 12:00:00,1962-07-28 18:00:00,20.58,13.21,7,16
2837,1962-07-29 14:00:00,1962-07-29 19:00:00,13.45,6.35,6,19
2839,1962-07-30 14:00:00,1962-07-30 15:00:00,1.77,1.52,2,18
2841,1962-07-31 15:00:00,1962-07-31 15:00:00,19.3,19.3,1,23
2843,1962-08-01 16:00:00,1962-08-01 22:00:00,10.15,3.05,7,24
2845,1962-08-02 11:00:00,1962-08-02 19:00:00,85.85,39.62,9,12
2847,1962-08-03 15:00:00,1962-08-03 16:00:00,0.5,0.25,2,19
2849,1962-08-04 17:00:00,1962-08-04 19:00:00,33.02,20.32,3,24
2851,1962-08-06 20:00:00,1962-08-06 23:00:00,39.38,32.77,4,48
2853,1962-08-08 17:00:00,1962-08-08 18:00:00,13.46,12.7,2,41
2855,1962-08-11 15:00:00,1962-08-11 15:00:00,0.25,0.25,1,68
2857,1962-08-16 16:00:00,1962-08-16 18:00:00,9.39,5.08,3,120
2859,1962-08-22 01:00:00,1962-08-22 01:00:00,1.27,1.27,1,126
2861,1962-08-23 13:00:00,1962-08-23 14:00:00,21.84,21.59,2,35
2863,1962-08-23 20:00:00,1962-08-23 20:00:00,0.25,0.25,1,5
2865,1962-08-24 13:00:00,1962-08-24 23:00:00,27.17,10.67,11,16
2867,1962-08-26 02:00:00,1962-08-26 07:00:00,1.52,0.51,6,26
2869,1962-08-26 13:00:00,1962-08-26 13:00:00,0.51,0.51,1,5
2871,1962-08-27 19:00:00,1962-08-27 22:00:00,1.01,0.51,4,29
2873,1962-08-31 10:00:00,1962-08-31 16:00:00,10.15,9.65,7,83
2875,1962-09-01 13:00:00,1962-09-01 13:00:00,9.4,9.4,1,20
2877,1962-09-03 13:00:00,1962-09-03 14:00:00,7.62,7.37,2,47
2879,1962-09-05 17:00:00,1962-09-05 18:00:00,6.35,5.84,2,50
2881,1962-09-06 18:00:00,1962-09-07 00:00:00,1.01,0.51,7,23
2883,1962-09-07 15:00:00,1962-09-07 16:00:00,14.73,14.48,2,14
2885,1962-09-13 11:00:00,1962-09-13 11:00:00,0.25,0.25,1,138
2887,1962-09-13 17:00:00,1962-09-13 17:00:00,0.25,0.25,1,5
2889,1962-09-15 12:00:00,1962-09-15 12:00:00,0.25,0.25,1,42
2891,1962-09-19 17:00:00,1962-09-19 21:00:00,17.52,6.35,5,100
2893,1962-09-20 07:00:00,1962-09-20 11:00:00,5.08,3.81,5,9
2895,1962-09-21 15:00:00,1962-09-21 19:00:00,5.33,1.78,5,27
2897,1962-09-22 20:00:00,1962-09-22 23:00:00,9.4,5.59,4,24
2899,1962-09-23 11:00:00,1962-09-23 13:00:00,12.18,5.33,3,11
2901,1962-09-24 14:00:00,1962-09-25 00:00:00,18.53,5.84,11,24
2903,1962-09-26 15:00:00,1962-09-26 15:00:00,2.03,2.03,1,38
2905,1962-09-26 21:00:00,1962-09-26 21:00:00,0.25,0.25,1,5
2907,1962-09-30 18:00:00,1962-09-30 18:00:00,0.76,0.76,1,92
2909,1962-10-02 19:00:00,1962-10-02 19:00:00,1.78,1.78,1,48
2911,1962-10-03 01:00:00,1962-10-03 01:00:00,0.25,0.25,1,5
2913,1962-10-08 18:00:00,1962-10-08 19:00:00,7.36,5.33,2,136
2915,1962-10-16 04:00:00,1962-10-16 04:00:00,0.25,0.25,1,176
2917,1962-10-22 02:00:00,1962-10-22 10:00:00,6.61,3.05,9,141
2919,1962-10-31 00:00:00,1962-10-31 20:00:00,12.43,3.05,21,205
2921,1962-11-03 19:00:00,1962-11-03 23:00:00,13.97,6.86,5,70
2923,1962-11-08 18:00:00,1962-11-08 23:00:00,3.55,2.54,6,114
2925,1962-11-09 10:00:00,1962-11-09 12:00:00,3.05,2.29,3,10
2927,1962-11-12 13:00:00,1962-11-12 14:00:00,1.27,1.02,2,72
2929,1962-11-13 01:00:00,1962-11-13 01:00:00,0.25,0.25,1,10
2931,1962-11-18 19:00:00,1962-11-18 22:00:00,1.52,1.02,4,137
2933,1962-11-21 21:00:00,1962-11-21 23:00:00,6.6,4.32,3,70
2935,1962-11-29 00:00:00,1962-11-29 00:00:00,0.51,0.51,1,168
2937,1962-11-29 08:00:00,1962-11-29 14:00:00,4.32,2.29,7,7
2939,1962-11-29 22:00:00,1962-11-30 15:00:00,14.96,4.06,18,7
2941,1962-11-30 21:00:00,1962-11-30 21:00:00,2.79,2.79,1,5
2943,1962-12-01 06:00:00,1962-12-01 06:00:00,0.25,0.25,1,8
2945,1962-12-05 21:00:00,1962-12-05 23:00:00,3.3,1.52,3,110
2947,1962-12-08 14:00:00,1962-12-08 18:00:00,3.8,1.78,5,62
2949,1962-12-11 20:00:00,1962-12-12 04:00:00,6.1,2.29,9,73
2951,1962-12-26 11:00:00,1962-12-27 01:00:00,39.62,12.45,15,342
2953,1962-12-27 08:00:00,1962-12-27 13:00:00,6.33,2.79,6,6
2955,1962-12-29 18:00:00,1962-12-29 18:00:00,3.05,3.05,1,52
2957,1963-01-06 06:00:00,1963-01-07 04:00:00,17.76,4.83,23,179
2959,1963-01-12 05:00:00,1963-01-12 19:00:00,68.06,28.45,15,120
2961,1963-01-13 08:00:00,1963-01-13 11:00:00,13.97,7.62,4,12
2963,1963-01-20 23:00:00,1963-01-21 03:00:00,18.79,17.78,5,179
2965,1963-01-26 05:00:00,1963-01-26 09:00:00,1.77,0.51,5,121
2967,1963-01-26 19:00:00,1963-01-27 00:00:00,8.89,3.81,6,9
2969,1963-01-27 09:00:00,1963-01-27 11:00:00,7.62,3.81,3,8
2971,1963-02-03 09:00:00,1963-02-05 02:00:00,104.13,16.76,42,165
2973,1963-02-05 12:00:00,1963-02-05 23:00:00,2.52,0.51,12,9
2975,1963-02-06 07:00:00,1963-02-06 09:00:00,0.5,0.25,3,7
2977,1963-02-06 15:00:00,1963-02-06 19:00:00,0.5,0.25,5,5
2979,1963-02-11 18:00:00,1963-02-11 23:00:00,17.53,10.16,6,118
2981,1963-02-12 06:00:00,1963-02-12 08:00:00,4.31,2.03,3,6
2983,1963-02-19 01:00:00,1963-02-19 08:00:00,22.09,9.91,8,160
2985,1963-02-24 05:00:00,1963-02-24 12:00:00,20.32,10.67,8,116
2987,1963-02-26 08:00:00,1963-02-26 12:00:00,1.77,0.76,5,43
2989,1963-02-26 18:00:00,1963-02-26 18:00:00,2.29,2.29,1,5
2991,1963-03-01 17:00:00,1963-03-02 07:00:00,21.57,6.35,15,70
2993,1963-03-06 07:00:00,1963-03-06 09:00:00,2.53,2.03,3,95
2995,1963-03-09 11:00:00,1963-03-09 15:00:00,9.39,3.05,5,73
2997,1963-03-09 21:00:00,1963-03-09 22:00:00,0.5,0.25,2,5
2999,1963-03-13 13:00:00,1963-03-13 13:00:00,0.51,0.51,1,86
3001,1963-03-14 16:00:00,1963-03-14 20:00:00,21.34,8.64,5,26
3003,1963-03-20 11:00:00,1963-03-20 11:00:00,0.76,0.76,1,134
3005,1963-04-06 00:00:00,1963-04-06 03:00:00,17.26,16,4,396
3007,1963-04-06 22:00:00,1963-04-07 01:00:00,8.63,4.32,4,18
3009,1963-04-07 12:00:00,1963-04-07 12:00:00,12.95,12.95,1,10
3011,1963-04-25 15:00:00,1963-04-25 16:00:00,1.02,0.51,2,434
3013,1963-04-30 14:00:00,1963-04-30 17:00:00,4.58,1.27,4,117
3015,1963-05-13 00:00:00,1963-05-13 03:00:00,1.02,0.51,4,294
3017,1963-05-14 15:00:00,1963-05-14 16:00:00,8.13,4.83,2,35
3019,1963-05-18 18:00:00,1963-05-18 19:00:00,3.56,3.05,2,97
3021,1963-05-20 19:00:00,1963-05-20 20:00:00,10.93,7.37,2,47
3023,1963-05-21 17:00:00,1963-05-21 19:00:00,3.55,1.52,3,20
3025,1963-05-22 16:00:00,1963-05-22 16:00:00,0.76,0.76,1,20
3027,1963-05-24 19:00:00,1963-05-24 19:00:00,0.51,0.51,1,50
3029,1963-05-29 14:00:00,1963-05-29 19:00:00,15.75,12.45,6,114
3031,1963-06-01 04:00:00,1963-06-01 06:00:00,21.85,8.89,3,56
3033,1963-06-05 16:00:00,1963-06-05 19:00:00,17.79,9.91,4,105
3035,1963-06-06 13:00:00,1963-06-06 18:00:00,3.56,1.52,6,17
3037,1963-06-07 15:00:00,1963-06-07 15:00:00,1.02,1.02,1,20
3039,1963-06-11 16:00:00,1963-06-11 16:00:00,16.51,16.51,1,96
3041,1963-06-12 16:00:00,1963-06-12 18:00:00,26.92,26.16,3,23
3043,1963-06-15 17:00:00,1963-06-15 22:00:00,22.1,18.29,6,70
3045,1963-06-17 16:00:00,1963-06-18 01:00:00,8.86,4.06,10,41
3047,1963-06-18 14:00:00,1963-06-18 18:00:00,17.78,14.22,5,12
3049,1963-06-21 13:00:00,1963-06-21 17:00:00,1.78,1.27,5,66
3051,1963-06-22 13:00:00,1963-06-22 19:00:00,25.39,19.3,7,19
3053,1963-06-23 17:00:00,1963-06-23 20:00:00,42.16,32.26,4,21
3055,1963-06-24 08:00:00,1963-06-24 10:00:00,4.06,2.79,3,11
3057,1963-06-24 17:00:00,1963-06-24 17:00:00,0.51,0.51,1,6
3059,1963-06-25 18:00:00,1963-06-26 19:00:00,69.35,19.05,26,24
3061,1963-06-29 14:00:00,1963-06-29 18:00:00,22.6,17.53,5,66
3063,1963-06-30 18:00:00,1963-06-30 20:00:00,14.98,14.48,3,23
3065,1963-07-02 20:00:00,1963-07-03 01:00:00,8.87,2.79,6,47
3067,1963-07-05 13:00:00,1963-07-05 14:00:00,4.57,3.81,2,59
3069,1963-07-07 14:00:00,1963-07-07 21:00:00,52.57,23.11,8,47
3071,1963-07-09 14:00:00,1963-07-09 14:00:00,0.51,0.51,1,40
3073,1963-07-15 17:00:00,1963-07-15 18:00:00,8.38,7.87,2,146
3075,1963-07-16 13:00:00,1963-07-16 13:00:00,2.29,2.29,1,18
3077,1963-07-21 08:00:00,1963-07-21 14:00:00,4.06,1.27,7,114
3079,1963-07-22 09:00:00,1963-07-22 16:00:00,22.6,20.83,8,18
3081,1963-07-24 14:00:00,1963-07-24 17:00:00,57.66,44.7,4,45
3083,1963-07-26 12:00:00,1963-07-26 14:00:00,2.79,2.03,3,42
3085,1963-08-01 18:00:00,1963-08-01 19:00:00,18.28,18.03,2,147
3087,1963-08-02 17:00:00,1963-08-02 17:00:00,1.52,1.52,1,21
3089,1963-08-07 16:00:00,1963-08-07 16:00:00,0.25,0.25,1,118
3091,1963-08-08 16:00:00,1963-08-08 23:00:00,13.71,7.11,8,23
3093,1963-08-10 18:00:00,1963-08-10 18:00:00,1.52,1.52,1,42
3095,1963-08-12 06:00:00,1963-08-12 07:00:00,8.64,7.37,2,35
3097,1963-08-13 16:00:00,1963-08-13 16:00:00,0.76,0.76,1,32
3099,1963-08-14 15:00:00,1963-08-14 21:00:00,26.16,19.3,7,22
3101,1963-08-16 14:00:00,1963-08-16 18:00:00,22.1,11.18,5,40
3103,1963-08-17 21:00:00,1963-08-17 21:00:00,0.25,0.25,1,26
3105,1963-08-20 23:00:00,1963-08-21 00:00:00,4.32,2.54,2,73
3107,1963-08-21 18:00:00,1963-08-21 21:00:00,9.65,3.3,4,17
3109,1963-08-24 15:00:00,1963-08-24 16:00:00,10.16,9.91,2,65
3111,1963-08-28 12:00:00,1963-08-28 13:00:00,0.5,0.25,2,91
3113,1963-08-30 18:00:00,1963-08-30 18:00:00,2.29,2.29,1,52
3115,1963-08-31 15:00:00,1963-08-31 23:00:00,5.58,2.54,9,20
3117,1963-09-03 12:00:00,1963-09-03 12:00:00,0.25,0.25,1,60
3119,1963-09-05 14:00:00,1963-09-05 14:00:00,0.51,0.51,1,49
3121,1963-09-05 22:00:00,1963-09-05 22:00:00,0.25,0.25,1,7
3123,1963-09-06 16:00:00,1963-09-06 16:00:00,3.05,3.05,1,17
3125,1963-09-15 02:00:00,1963-09-15 02:00:00,0.25,0.25,1,201
3127,1963-09-15 17:00:00,1963-09-15 17:00:00,0.25,0.25,1,14
3129,1963-09-16 13:00:00,1963-09-16 18:00:00,3.3,2.79,6,19
3131,1963-09-20 04:00:00,1963-09-20 10:00:00,1.27,0.51,7,81
3133,1963-09-21 00:00:00,1963-09-21 00:00:00,0.25,0.25,1,13
3135,1963-09-21 15:00:00,1963-09-21 15:00:00,0.25,0.25,1,14
3137,1963-09-22 16:00:00,1963-09-22 16:00:00,2.03,2.03,1,24
3139,1963-09-23 01:00:00,1963-09-23 02:00:00,1.52,1.27,2,8
3141,1963-09-23 14:00:00,1963-09-23 21:00:00,4.05,2.29,8,11
3143,1963-09-24 03:00:00,1963-09-27 19:00:00,74.09,10.41,89,5
3145,1963-09-29 07:00:00,1963-09-29 17:00:00,33.27,13.46,11,35
3147,1963-10-01 04:00:00,1963-10-01 08:00:00,9.14,8.38,5,34
3149,1963-10-01 15:00:00,1963-10-01 22:00:00,5.58,2.54,8,6
3151,1963-10-02 08:00:00,1963-10-02 08:00:00,0.25,0.25,1,9
3153,1963-10-05 12:00:00,1963-10-05 14:00:00,2.28,2.03,3,75
3155,1963-10-07 07:00:00,1963-10-07 07:00:00,0.25,0.25,1,40
3157,1963-10-15 09:00:00,1963-10-15 21:00:00,12.95,4.57,13,193
3159,1963-10-24 01:00:00,1963-10-24 03:00:00,3.81,1.78,3,195
3161,1963-10-24 09:00:00,1963-10-24 11:00:00,2.03,1.27,3,5
3163,1963-10-24 17:00:00,1963-10-24 17:00:00,0.25,0.25,1,5
3165,1963-10-25 02:00:00,1963-10-25 03:00:00,2.28,1.52,2,8
3167,1963-11-01 23:00:00,1963-11-02 00:00:00,6.61,6.1,2,187
3169,1963-11-05 08:00:00,1963-11-06 00:00:00,19.04,6.35,17,79
3171,1963-11-09 23:00:00,1963-11-10 16:00:00,16.48,3.81,18,94
3173,1963-11-10 23:00:00,1963-11-10 23:00:00,0.25,0.25,1,6
3175,1963-11-11 15:00:00,1963-11-11 19:00:00,3.29,0.76,5,15
3177,1963-11-24 03:00:00,1963-11-24 03:00:00,0.25,0.25,1,295
3179,1963-11-28 19:00:00,1963-11-29 04:00:00,22.34,8.38,10,111
3181,1963-12-12 22:00:00,1963-12-13 12:00:00,34.03,18.29,15,329
3183,1963-12-13 18:00:00,1963-12-13 20:00:00,0.5,0.25,3,5
3185,1963-12-23 08:00:00,1963-12-23 23:00:00,7.87,1.27,16,227
3187,1963-12-29 02:00:00,1963-12-29 05:00:00,2.53,1.27,4,122
3189,1963-12-31 04:00:00,1963-12-31 16:00:00,46.5,9.91,13,46
3191,1964-01-05 06:00:00,1964-01-05 07:00:00,2.03,1.52,2,109
3193,1964-01-07 00:00:00,1964-01-07 03:00:00,8.13,3.3,4,40
3195,1964-01-07 22:00:00,1964-01-09 00:00:00,20.56,11.68,27,18
3197,1964-01-09 14:00:00,1964-01-09 20:00:00,5.83,2.79,7,13
3199,1964-01-11 14:00:00,1964-01-12 09:00:00,47.49,9.65,20,41
3201,1964-01-16 22:00:00,1964-01-17 16:00:00,62.99,18.54,19,108
3203,1964-01-20 08:00:00,1964-01-20 08:00:00,0.76,0.76,1,63
3205,1964-01-23 10:00:00,1964-01-23 14:00:00,3.81,1.78,5,73
3207,1964-01-25 13:00:00,1964-01-25 16:00:00,8.12,5.84,4,46
3209,1964-01-27 19:00:00,1964-01-28 03:00:00,23.38,9.91,9,50
3211,1964-01-31 16:00:00,1964-01-31 18:00:00,2.03,1.27,3,84
3213,1964-02-03 17:00:00,1964-02-03 19:00:00,2.02,1.52,3,70
3215,1964-02-04 05:00:00,1964-02-04 05:00:00,0.25,0.25,1,9
3217,1964-02-04 23:00:00,1964-02-04 23:00:00,0.51,0.51,1,17
3219,1964-02-05 08:00:00,1964-02-05 22:00:00,17.79,4.32,15,8
3221,1964-02-07 20:00:00,1964-02-08 03:00:00,23.36,8.64,8,45
3223,1964-02-11 08:00:00,1964-02-11 08:00:00,0.25,0.25,1,76
3225,1964-02-14 04:00:00,1964-02-14 06:00:00,1.52,1.02,3,67
3227,1964-02-16 01:00:00,1964-02-16 04:00:00,4.31,2.54,4,42
3229,1964-02-18 02:00:00,1964-02-18 02:00:00,0.25,0.25,1,45
3231,1964-02-18 09:00:00,1964-02-18 12:00:00,11.44,4.83,4,6
3233,1964-02-22 06:00:00,1964-02-22 09:00:00,2.03,0.76,4,89
3235,1964-02-25 07:00:00,1964-02-25 11:00:00,5.07,2.54,5,69
3237,1964-02-27 07:00:00,1964-02-28 04:00:00,97.51,10.92,22,43
3239,1964-03-05 06:00:00,1964-03-05 06:00:00,1.52,1.52,1,145
3241,1964-03-10 07:00:00,1964-03-10 07:00:00,0.76,0.76,1,120
3243,1964-03-15 17:00:00,1964-03-15 19:00:00,2.8,2.29,3,129
3245,1964-03-20 01:00:00,1964-03-20 05:00:00,7.36,3.05,5,101
3247,1964-03-26 10:00:00,1964-03-26 19:00:00,28.44,24.13,10,148
3249,1964-03-28 10:00:00,1964-03-28 13:00:00,3.8,1.52,4,38
3251,1964-04-03 21:00:00,1964-04-03 21:00:00,0.25,0.25,1,151
3253,1964-04-08 20:00:00,1964-04-08 20:00:00,8.38,8.38,1,118
3255,1964-04-14 16:00:00,1964-04-14 20:00:00,6.35,4.32,5,139
3257,1964-04-24 16:00:00,1964-04-24 17:00:00,9.4,8.89,2,235
3259,1964-04-25 18:00:00,1964-04-25 19:00:00,2.03,1.27,2,24
3261,1964-04-27 15:00:00,1964-04-28 16:00:00,91.69,14.22,26,43
3263,1964-05-01 08:00:00,1964-05-01 16:00:00,50.54,33.27,9,63
3265,1964-05-02 10:00:00,1964-05-02 19:00:00,57.9,13.97,10,17
3267,1964-05-13 14:00:00,1964-05-13 17:00:00,11.43,7.37,4,258
3269,1964-05-31 14:00:00,1964-05-31 16:00:00,2.03,1.27,3,428
3271,1964-06-06 10:00:00,1964-06-06 17:00:00,67.57,57.4,8,137
3273,1964-06-07 18:00:00,1964-06-07 18:00:00,0.76,0.76,1,24
3275,1964-06-17 17:00:00,1964-06-17 17:00:00,0.51,0.51,1,238
3277,1964-06-18 14:00:00,1964-06-18 15:00:00,14.48,12.7,2,20
3279,1964-06-20 13:00:00,1964-06-20 19:00:00,9.14,4.06,7,45
3281,1964-06-26 15:00:00,1964-06-26 15:00:00,0.25,0.25,1,139
3283,1964-06-27 14:00:00,1964-06-27 16:00:00,4.32,3.56,3,22
3285,1964-06-28 15:00:00,1964-06-28 16:00:00,20.07,19.05,2,22
3287,1964-06-30 06:00:00,1964-06-30 06:00:00,0.25,0.25,1,37
3289,1964-06-30 17:00:00,1964-06-30 20:00:00,1.27,0.76,4,10
3291,1964-07-01 11:00:00,1964-07-01 11:00:00,0.25,0.25,1,14
3293,1964-07-03 14:00:00,1964-07-03 15:00:00,10.66,6.6,2,50
3295,1964-07-04 12:00:00,1964-07-04 12:00:00,0.76,0.76,1,20
3297,1964-07-11 01:00:00,1964-07-11 01:00:00,1.27,1.27,1,156
3299,1964-07-11 12:00:00,1964-07-11 19:00:00,6.59,2.79,8,10
3301,1964-07-12 12:00:00,1964-07-12 16:00:00,2.28,1.27,5,16
3303,1964-07-13 13:00:00,1964-07-13 18:00:00,13.72,5.84,6,20
3305,1964-07-16 13:00:00,1964-07-16 13:00:00,3.05,3.05,1,66
3307,1964-07-16 23:00:00,1964-07-17 04:00:00,21.08,15.49,6,9
3309,1964-07-17 13:00:00,1964-07-17 19:00:00,5.33,2.29,7,8
3311,1964-07-18 01:00:00,1964-07-18 03:00:00,7.62,7.11,3,5
3313,1964-07-23 15:00:00,1964-07-23 18:00:00,19.55,19.05,4,131
3315,1964-07-24 14:00:00,1964-07-24 19:00:00,3.05,1.78,6,19
3317,1964-07-25 12:00:00,1964-07-25 12:00:00,5.84,5.84,1,16
3319,1964-07-25 18:00:00,1964-07-25 19:00:00,1.27,1.02,2,5
3321,1964-07-26 12:00:00,1964-07-27 15:00:00,41.64,17.53,28,16
3323,1964-07-28 20:00:00,1964-07-28 20:00:00,5.08,5.08,1,28
3325,1964-07-30 15:00:00,1964-07-30 17:00:00,4.57,3.56,3,42
3327,1964-07-31 15:00:00,1964-07-31 16:00:00,1.77,1.52,2,21
3329,1964-08-04 15:00:00,1964-08-04 15:00:00,2.54,2.54,1,94
3331,1964-08-06 01:00:00,1964-08-06 01:00:00,0.51,0.51,1,33
3333,1964-08-07 10:00:00,1964-08-07 11:00:00,1.53,1.02,2,32
3335,1964-08-07 17:00:00,1964-08-07 20:00:00,12.95,12.45,4,5
3337,1964-08-09 19:00:00,1964-08-09 21:00:00,3.55,2.03,3,46
3339,1964-08-10 18:00:00,1964-08-10 20:00:00,5.33,4.83,3,20
3341,1964-08-13 13:00:00,1964-08-13 19:00:00,1.77,0.51,7,64
3343,1964-08-16 15:00:00,1964-08-16 15:00:00,6.86,6.86,1,67
3345,1964-08-17 16:00:00,1964-08-17 16:00:00,0.25,0.25,1,24
3347,1964-08-18 13:00:00,1964-08-18 21:00:00,12.45,5.59,9,20
3349,1964-08-19 13:00:00,1964-08-19 19:00:00,17.77,12.45,7,15
3351,1964-08-20 13:00:00,1964-08-20 14:00:00,5.08,4.57,2,17
3353,1964-08-27 10:00:00,1964-08-27 10:00:00,1.02,1.02,1,163
3355,1964-08-27 21:00:00,1964-08-29 07:00:00,69.83,18.29,35,10
3357,1964-08-29 17:00:00,1964-08-29 18:00:00,1.52,1.27,2,9
3359,1964-09-01 14:00:00,1964-09-01 14:00:00,4.32,4.32,1,67
3361,1964-09-08 20:00:00,1964-09-08 20:00:00,0.25,0.25,1,173
3363,1964-09-09 07:00:00,1964-09-10 13:00:00,167.14,18.8,31,10
3365,1964-09-10 21:00:00,1964-09-11 00:00:00,2.02,0.76,4,7
3367,1964-09-11 06:00:00,1964-09-11 06:00:00,0.25,0.25,1,5
3369,1964-09-12 04:00:00,1964-09-13 08:00:00,51.28,10.41,29,21
3371,1964-09-26 16:00:00,1964-09-26 19:00:00,36.57,18.03,4,319
3373,1964-10-02 17:00:00,1964-10-02 23:00:00,35.31,30.99,7,141
3375,1964-10-03 16:00:00,1964-10-03 16:00:00,0.25,0.25,1,16
3377,1964-10-04 16:00:00,1964-10-04 16:00:00,0.25,0.25,1,23
3379,1964-10-05 17:00:00,1964-10-06 06:00:00,6.85,1.78,14,24
3381,1964-10-09 01:00:00,1964-10-09 01:00:00,1.02,1.02,1,66
3383,1964-10-11 16:00:00,1964-10-11 22:00:00,16.76,6.35,7,62
3385,1964-10-13 20:00:00,1964-10-13 22:00:00,2.79,1.52,3,45
3387,1964-10-14 06:00:00,1964-10-15 07:00:00,58.67,8.64,26,7
3389,1964-10-15 15:00:00,1964-10-15 18:00:00,1.52,0.51,4,7
